DATE,TIME,Home,Away
11/25/2017,15:00,Southampton,Everton
11/25/2017,15:00,Swansea,Bournemouth
11/25/2017,15:00,Tottenham,West Brom
11/25/2017,15:00,West Ham,Leicester
11/28/2017,19:45,Arsenal,Huddersfield
11/28/2017,19:45,Bournemouth,Burnley
11/28/2017,19:45,Brighton,Crystal Palace
11/28/2017,19:45,Leicester,Tottenham
11/28/2017,19:45,Watford,Man Utd
11/28/2017,20:00,West Brom,Newcastle
11/29/2017,19:45,Chelsea,Swansea
11/29/2017,19:45,Everton,West Ham
11/29/2017,20:00,Man City,Southampton
11/29/2017,20:00,Stoke,Liverpool
12/2/2017,15:00,Arsenal,Man Utd
12/2/2017,15:00,Bournemouth,Southampton
12/2/2017,15:00,Brighton,Liverpool
12/2/2017,15:00,Chelsea,Newcastle
12/2/2017,15:00,Everton,Huddersfield
12/2/2017,15:00,Leicester,Burnley
12/2/2017,15:00,Man City,West Ham
12/2/2017,15:00,Stoke,Swansea
12/2/2017,15:00,Watford,Tottenham
12/2/2017,15:00,West Brom,Crystal Palace
12/9/2017,15:00,Burnley,Watford
12/9/2017,15:00,Crystal Palace,Bournemouth
12/9/2017,15:00,Huddersfield,Brighton
12/9/2017,15:00,Liverpool,Everton
12/9/2017,15:00,Man Utd,Man City
12/9/2017,15:00,Newcastle,Leicester
12/9/2017,15:00,Southampton,Arsenal
12/9/2017,15:00,Swansea,West Brom
12/9/2017,15:00,Tottenham,Stoke
12/9/2017,15:00,West Ham,Chelsea
12/12/2017,19:45,Burnley,Stoke
12/12/2017,19:45,Huddersfield,Chelsea
12/12/2017,19:45,Swansea,Man City
12/12/2017,19:45,West Ham,Arsenal
12/12/2017,20:00,Crystal Palace,Watford
12/12/2017,20:00,Man Utd,Bournemouth
12/13/2017,19:45,Newcastle,Everton
12/13/2017,19:45,Southampton,Leicester
12/13/2017,20:00,Liverpool,West Brom
12/13/2017,20:00,Tottenham,Brighton
12/16/2017,15:00,Arsenal,Newcastle
12/16/2017,15:00,Bournemouth,Liverpool
12/16/2017,15:00,Brighton,Burnley
12/16/2017,15:00,Chelsea,Southampton
12/16/2017,15:00,Everton,Swansea
12/16/2017,15:00,Leicester,Crystal Palace
12/16/2017,15:00,Man City,Tottenham
12/16/2017,15:00,Stoke,West Ham
12/16/2017,15:00,Watford,Huddersfield
12/16/2017,15:00,West Brom,Man Utd
12/23/2017,15:00,Arsenal,Liverpool
12/23/2017,15:00,Brighton,Watford
12/23/2017,15:00,Burnley,Tottenham
12/23/2017,15:00,Everton,Chelsea
12/23/2017,15:00,Leicester,Man Utd
12/23/2017,15:00,Man City,Bournemouth
12/23/2017,15:00,Southampton,Huddersfield
12/23/2017,15:00,Stoke,West Brom
12/23/2017,15:00,Swansea,Crystal Palace
12/23/2017,15:00,West Ham,Newcastle
12/26/2017,15:00,Bournemouth,West Ham
