"season","team","opponent","playing","half","goals"
"2014/15","Stoke","Tottenham",1,"first",2
"2014/15","Crystal Palace","Man Utd",1,"first",0
"2014/15","Sunderland","Everton",0,"first",0
"2014/15","West Ham","Aston Villa",0,"first",0
"2014/15","Burnley","Hull",0,"first",0
"2014/15","Southampton","Leicester",0,"first",0
"2014/15","West Brom","Newcastle",0,"first",1
"2014/15","Tottenham","Stoke",0,"first",0
"2014/15","Man Utd","Crystal Palace",0,"first",1
"2014/15","Man City","QPR",1,"first",2
"2014/15","Chelsea","Liverpool",1,"first",1
"2014/15","QPR","Man City",0,"first",0
"2014/15","Liverpool","Chelsea",0,"first",1
"2014/15","Arsenal","Swansea",1,"first",0
"2014/15","Swansea","Arsenal",0,"first",0
"2014/15","Southampton","Aston Villa",1,"first",5
"2014/15","Sunderland","Leicester",1,"first",0
"2014/15","West Ham","Everton",1,"first",0
"2014/15","Burnley","Stoke",1,"first",0
"2014/15","QPR","Newcastle",1,"first",0
"2014/15","Tottenham","Hull",1,"first",0
"2014/15","Liverpool","Crystal Palace",1,"first",1
"2014/15","Aston Villa","Southampton",0,"first",1
"2014/15","Leicester","Sunderland",0,"first",0
"2014/15","Everton","West Ham",0,"first",0
"2014/15","Stoke","Burnley",0,"first",0
"2014/15","Newcastle","QPR",0,"first",1
"2014/15","Hull","Tottenham",0,"first",0
"2014/15","Crystal Palace","Liverpool",0,"first",1
"2014/15","Swansea","Man City",1,"first",1
"2014/15","Man Utd","Arsenal",1,"first",1
"2014/15","Man City","Swansea",0,"first",2
"2014/15","Arsenal","Man Utd",0,"first",0
"2014/15","West Brom","Chelsea",1,"first",1
"2014/15","Chelsea","West Brom",0,"first",0
"2014/15","Arsenal","Sunderland",1,"first",0
"2014/15","Sunderland","Arsenal",0,"first",0
"2014/15","Newcastle","West Ham",1,"first",0
"2014/15","Stoke","Liverpool",1,"first",5
"2014/15","Arsenal","West Brom",1,"first",4
"2014/15","Aston Villa","Burnley",1,"first",0
"2014/15","Chelsea","Sunderland",1,"first",1
"2014/15","Crystal Palace","Swansea",1,"first",0
"2014/15","Everton","Tottenham",1,"first",0
"2014/15","Hull","Man Utd",1,"first",0
"2014/15","Leicester","QPR",1,"first",2
"2014/15","Man City","Southampton",1,"first",1
"2014/15","West Ham","Newcastle",0,"first",0
"2014/15","Liverpool","Stoke",0,"first",0
"2014/15","West Brom","Arsenal",0,"first",0
"2014/15","Burnley","Aston Villa",0,"first",1
"2014/15","Sunderland","Chelsea",0,"first",1
"2014/15","Swansea","Crystal Palace",0,"first",0
"2014/15","Tottenham","Everton",0,"first",1
"2014/15","Man Utd","Hull",0,"first",0
"2014/15","QPR","Leicester",0,"first",0
"2014/15","Southampton","Man City",0,"first",0
"2015/16","Man Utd","Tottenham",1,"first",1
"2015/16","Norwich","Crystal Palace",1,"first",0
"2015/16","Bournemouth","Aston Villa",1,"first",0
"2015/16","Everton","Watford",1,"first",0
"2015/16","Leicester","Sunderland",1,"first",3
"2015/16","Chelsea","Swansea",1,"first",2
"2015/16","Tottenham","Man Utd",0,"first",0
"2015/16","Crystal Palace","Norwich",0,"first",1
"2015/16","Aston Villa","Bournemouth",0,"first",0
"2015/16","Watford","Everton",0,"first",1
"2015/16","Sunderland","Leicester",0,"first",0
"2015/16","Swansea","Chelsea",0,"first",1
"2015/16","Newcastle","Southampton",1,"first",1
"2015/16","Arsenal","West Ham",1,"first",0
"2015/16","Stoke","Liverpool",1,"first",0
"2015/16","Southampton","Newcastle",0,"first",1
"2015/16","West Ham","Arsenal",0,"first",1
"2015/16","Liverpool","Stoke",0,"first",0
"2015/16","West Brom","Man City",1,"first",0
"2015/16","Man City","West Brom",0,"first",2
"2015/16","Aston Villa","Man Utd",1,"first",0
"2015/16","Man Utd","Aston Villa",0,"first",1
"2015/16","Southampton","Everton",1,"first",0
"2015/16","Sunderland","Norwich",1,"first",0
"2015/16","Swansea","Newcastle",1,"first",1
"2015/16","Tottenham","Stoke",1,"first",2
"2015/16","Watford","West Brom",1,"first",0
"2015/16","West Ham","Leicester",1,"first",0
"2015/16","Everton","Southampton",0,"first",2
"2015/16","Norwich","Sunderland",0,"first",2
"2015/16","Newcastle","Swansea",0,"first",0
"2015/16","Stoke","Tottenham",0,"first",0
"2015/16","West Brom","Watford",0,"first",0
"2015/16","Leicester","West Ham",0,"first",2
"2015/16","Crystal Palace","Arsenal",1,"first",1
"2015/16","Man City","Chelsea",1,"first",1
"2015/16","Arsenal","Crystal Palace",0,"first",1
"2015/16","Chelsea","Man City",0,"first",0
"2015/16","Liverpool","Bournemouth",1,"first",1
"2015/16","Bournemouth","Liverpool",0,"first",0
"2015/16","Man Utd","Newcastle",1,"first",0
"2015/16","Norwich","Stoke",1,"first",1
"2015/16","Sunderland","Swansea",1,"first",0
"2015/16","Crystal Palace","Aston Villa",1,"first",0
"2015/16","Leicester","Tottenham",1,"first",0
"2015/16","West Ham","Bournemouth",1,"first",0
"2015/16","Newcastle","Man Utd",0,"first",0
"2015/16","Stoke","Norwich",0,"first",1
"2015/16","Swansea","Sunderland",0,"first",1
"2015/16","Aston Villa","Crystal Palace",0,"first",0
"2015/16","Tottenham","Leicester",0,"first",0
"2015/16","Bournemouth","West Ham",0,"first",2
"2015/16","Everton","Man City",1,"first",0
"2015/16","West Brom","Chelsea",1,"first",1
"2015/16","Watford","Southampton",1,"first",0
"2015/16","Man City","Everton",0,"first",0
"2015/16","Chelsea","West Brom",0,"first",3
"2015/16","Southampton","Watford",0,"first",0
"2015/16","Arsenal","Liverpool",1,"first",0
"2015/16","Liverpool","Arsenal",0,"first",0
"2015/16","Newcastle","Arsenal",1,"first",0
"2015/16","Aston Villa","Sunderland",1,"first",2
"2015/16","Bournemouth","Leicester",1,"first",1
"2015/16","Chelsea","Crystal Palace",1,"first",0
"2015/16","Liverpool","West Ham",1,"first",0
"2015/16","Man City","Watford",1,"first",0
"2015/16","Stoke","West Brom",1,"first",0
"2015/16","Tottenham","Everton",1,"first",0
"2015/16","Arsenal","Newcastle",0,"first",0
"2015/16","Sunderland","Aston Villa",0,"first",1
"2015/16","Leicester","Bournemouth",0,"first",0
"2015/16","Crystal Palace","Chelsea",0,"first",0
"2015/16","West Ham","Liverpool",0,"first",2
"2015/16","Watford","Man City",0,"first",0
"2015/16","West Brom","Stoke",0,"first",1
"2015/16","Everton","Tottenham",0,"first",0
"2015/16","Southampton","Norwich",1,"first",1
"2015/16","Swansea","Man Utd",1,"first",0
"2015/16","Norwich","Southampton",0,"first",0
"2015/16","Man Utd","Swansea",0,"first",0
"2015/16","Everton","Chelsea",1,"first",2
"2015/16","Arsenal","Stoke",1,"first",1
"2015/16","Crystal Palace","Man City",1,"first",0
"2015/16","Norwich","Bournemouth",1,"first",1
"2015/16","Watford","Swansea",1,"first",0
"2015/16","West Brom","Southampton",1,"first",0
"2015/16","Man Utd","Liverpool",1,"first",0
"2015/16","Chelsea","Everton",0,"first",1
"2015/16","Stoke","Arsenal",0,"first",0
"2015/16","Man City","Crystal Palace",0,"first",0
"2015/16","Bournemouth","Norwich",0,"first",0
"2015/16","Swansea","Watford",0,"first",0
"2015/16","Southampton","West Brom",0,"first",0
"2015/16","Liverpool","Man Utd",0,"first",0
"2015/16","Sunderland","Tottenham",1,"first",0
"2015/16","Leicester","Aston Villa",1,"first",0
"2015/16","Tottenham","Sunderland",0,"first",0
"2015/16","Aston Villa","Leicester",0,"first",1
"2015/16","West Ham","Newcastle",1,"first",1
"2015/16","Newcastle","West Ham",0,"first",0
"2015/16","Chelsea","Arsenal",1,"first",0
"2015/16","Aston Villa","West Brom",1,"first",0
"2015/16","Bournemouth","Sunderland",1,"first",2
"2015/16","Newcastle","Watford",1,"first",0
"2015/16","Stoke","Leicester",1,"first",2
"2015/16","Swansea","Everton",1,"first",0
"2015/16","Man City","West Ham",1,"first",1
"2015/16","Arsenal","Chelsea",0,"first",0
"2015/16","West Brom","Aston Villa",0,"first",1
"2015/16","Sunderland","Bournemouth",0,"first",0
"2015/16","Watford","Newcastle",0,"first",2
"2015/16","Leicester","Stoke",0,"first",0
"2015/16","Everton","Swansea",0,"first",0
"2015/16","West Ham","Man City",0,"first",2
"2015/16","Liverpool","Norwich",1,"first",0
"2015/16","Southampton","Man Utd",1,"first",1
"2015/16","Tottenham","Crystal Palace",1,"first",0
"2015/16","Norwich","Liverpool",0,"first",0
"2015/16","Man Utd","Southampton",0,"first",1
"2015/16","Crystal Palace","Tottenham",0,"first",0
"2015/16","Tottenham","Man City",1,"first",1
"2015/16","Southampton","Swansea",1,"first",1
"2015/16","Liverpool","Aston Villa",1,"first",1
"2015/16","Stoke","Bournemouth",1,"first",1
"2015/16","Man Utd","Sunderland",1,"first",1
"2015/16","Leicester","Arsenal",1,"first",1
"2015/16","West Ham","Norwich",1,"first",1
"2015/16","Newcastle","Chelsea",1,"first",1
"2015/16","Man City","Tottenham",0,"first",1
"2015/16","Swansea","Southampton",0,"first",0
"2015/16","Aston Villa","Liverpool",0,"first",0
"2015/16","Bournemouth","Stoke",0,"first",0
"2015/16","Sunderland","Man Utd",0,"first",0
"2015/16","Arsenal","Leicester",0,"first",2
"2015/16","Norwich","West Ham",0,"first",1
"2015/16","Chelsea","Newcastle",0,"first",0
"2015/16","Watford","Crystal Palace",1,"first",0
"2015/16","Crystal Palace","Watford",0,"first",0
"2015/16","West Brom","Everton",1,"first",1
"2015/16","Everton","West Brom",0,"first",0
"2015/16","Crystal Palace","West Brom",1,"first",0
"2015/16","Aston Villa","Stoke",1,"first",0
"2015/16","Man City","Newcastle",1,"first",1
"2015/16","Bournemouth","Watford",1,"first",1
"2015/16","Norwich","Leicester",1,"first",0
"2015/16","Sunderland","West Ham",1,"first",2
"2015/16","Chelsea","Southampton",1,"first",1
"2015/16","West Brom","Crystal Palace",0,"first",0
"2015/16","Stoke","Aston Villa",0,"first",0
"2015/16","Newcastle","Man City",0,"first",1
"2015/16","Watford","Bournemouth",0,"first",1
"2015/16","Leicester","Norwich",0,"first",1
"2015/16","West Ham","Sunderland",0,"first",1
"2015/16","Southampton","Chelsea",0,"first",1
"2015/16","Swansea","Tottenham",1,"first",2
"2015/16","Everton","Liverpool",1,"first",1
"2015/16","Arsenal","Man Utd",1,"first",3
"2015/16","Tottenham","Swansea",0,"first",1
"2015/16","Liverpool","Everton",0,"first",1
"2015/16","Man Utd","Arsenal",0,"first",0
"2015/16","Tottenham","Liverpool",1,"first",0
"2015/16","Southampton","Leicester",1,"first",2
"2015/16","West Brom","Sunderland",1,"first",0
"2015/16","Chelsea","Aston Villa",1,"first",1
"2015/16","Crystal Palace","West Ham",1,"first",1
"2015/16","Everton","Man Utd",1,"first",0
"2015/16","Man City","Bournemouth",1,"first",4
"2015/16","Watford","Arsenal",1,"first",0
"2015/16","Liverpool","Tottenham",0,"first",0
"2015/16","Leicester","Southampton",0,"first",0
"2015/16","Sunderland","West Brom",0,"first",0
"2015/16","Aston Villa","Chelsea",0,"first",0
"2015/16","West Ham","Crystal Palace",0,"first",1
"2015/16","Man Utd","Everton",0,"first",2
"2015/16","Bournemouth","Man City",0,"first",1
"2015/16","Arsenal","Watford",0,"first",0
"2015/16","Newcastle","Norwich",1,"first",3
"2015/16","Norwich","Newcastle",0,"first",2
"2015/16","Swansea","Stoke",1,"first",0
"2015/16","Stoke","Swansea",0,"first",1
"2015/16","Aston Villa","Swansea",1,"first",0
"2015/16","Leicester","Crystal Palace",1,"first",0
"2015/16","Norwich","West Brom",1,"first",0
"2015/16","Stoke","Watford",1,"first",0
"2015/16","West Ham","Chelsea",1,"first",1
"2015/16","Arsenal","Everton",1,"first",2
"2015/16","Swansea","Aston Villa",0,"first",0
"2015/16","Crystal Palace","Leicester",0,"first",0
"2015/16","West Brom","Norwich",0,"first",0
"2015/16","Watford","Stoke",0,"first",1
"2015/16","Chelsea","West Ham",0,"first",0
"2015/16","Everton","Arsenal",0,"first",1
"2015/16","Liverpool","Southampton",1,"first",0
"2015/16","Man Utd","Man City",1,"first",0
"2015/16","Bournemouth","Tottenham",1,"first",1
"2015/16","Sunderland","Newcastle",1,"first",1
"2015/16","Southampton","Liverpool",0,"first",0
"2015/16","Man City","Man Utd",0,"first",0
"2015/16","Tottenham","Bournemouth",0,"first",3
"2015/16","Newcastle","Sunderland",0,"first",0
"2015/16","Chelsea","Liverpool",1,"first",1
"2015/16","Crystal Palace","Man Utd",1,"first",0
"2015/16","Newcastle","Stoke",1,"first",0
"2015/16","Swansea","Arsenal",1,"first",0
"2015/16","Watford","West Ham",1,"first",1
"2015/16","West Brom","Leicester",1,"first",1
"2015/16","Man City","Norwich",1,"first",0
"2015/16","Liverpool","Chelsea",0,"first",1
"2015/16","Man Utd","Crystal Palace",0,"first",0
"2015/16","Stoke","Newcastle",0,"first",0
"2015/16","Arsenal","Swansea",0,"first",0
"2015/16","West Ham","Watford",0,"first",0
"2015/16","Leicester","West Brom",0,"first",0
"2015/16","Norwich","Man City",0,"first",0
"2015/16","Everton","Sunderland",1,"first",2
"2015/16","Southampton","Bournemouth",1,"first",2
"2015/16","Sunderland","Everton",0,"first",1
"2015/16","Bournemouth","Southampton",0,"first",0
"2015/16","Tottenham","Aston Villa",1,"first",2
"2015/16","Aston Villa","Tottenham",0,"first",0
"2015/16","Bournemouth","Newcastle",1,"first",0
"2015/16","Leicester","Watford",1,"first",0
"2015/16","Man Utd","West Brom",1,"first",0
"2015/16","Sunderland","Southampton",1,"first",0
"2015/16","Norwich","Swansea",1,"first",0
"2015/16","West Ham","Everton",1,"first",1
"2015/16","Stoke","Chelsea",1,"first",0
"2015/16","Newcastle","Bournemouth",0,"first",1
"2015/16","Watford","Leicester",0,"first",0
"2015/16","West Brom","Man Utd",0,"first",0
"2015/16","Southampton","Sunderland",0,"first",0
"2015/16","Swansea","Norwich",0,"first",0
"2015/16","Everton","West Ham",0,"first",1
"2015/16","Chelsea","Stoke",0,"first",0
"2015/16","Liverpool","Crystal Palace",1,"first",1
"2015/16","Aston Villa","Man City",1,"first",0
"2015/16","Arsenal","Tottenham",1,"first",0
"2015/16","Crystal Palace","Liverpool",0,"first",1
"2015/16","Man City","Aston Villa",0,"first",0
"2015/16","Tottenham","Arsenal",0,"first",1
"2015/16","Watford","Man Utd",1,"first",0
"2015/16","West Brom","Arsenal",1,"first",2
"2015/16","Chelsea","Norwich",1,"first",0
"2015/16","Everton","Aston Villa",1,"first",3
"2015/16","Newcastle","Leicester",1,"first",0
"2015/16","Southampton","Stoke",1,"first",0
"2015/16","Swansea","Bournemouth",1,"first",2
"2015/16","Man City","Liverpool",1,"first",1
"2015/16","Man Utd","Watford",0,"first",1
"2015/16","Arsenal","West Brom",0,"first",1
"2015/16","Norwich","Chelsea",0,"first",0
"2015/16","Aston Villa","Everton",0,"first",0
"2015/16","Leicester","Newcastle",0,"first",1
"2015/16","Stoke","Southampton",0,"first",1
"2015/16","Bournemouth","Swansea",0,"first",2
"2015/16","Liverpool","Man City",0,"first",3
"2015/16","Tottenham","West Ham",1,"first",2
"2015/16","West Ham","Tottenham",0,"first",0
"2015/16","Crystal Palace","Sunderland",1,"first",0
"2015/16","Sunderland","Crystal Palace",0,"first",0
"2015/16","Sunderland","Stoke",1,"first",0
"2015/16","Aston Villa","Watford",1,"first",1
"2015/16","Bournemouth","Everton",1,"first",0
"2015/16","Crystal Palace","Newcastle",1,"first",3
"2015/16","Man City","Southampton",1,"first",2
"2015/16","Leicester","Man Utd",1,"first",1
"2015/16","Stoke","Sunderland",0,"first",0
"2015/16","Watford","Aston Villa",0,"first",1
"2015/16","Everton","Bournemouth",0,"first",2
"2015/16","Newcastle","Crystal Palace",0,"first",1
"2015/16","Southampton","Man City",0,"first",0
"2015/16","Man Utd","Leicester",0,"first",1
"2015/16","Tottenham","Chelsea",1,"first",0
"2015/16","West Ham","West Brom",1,"first",1
"2015/16","Norwich","Arsenal",1,"first",1
"2015/16","Liverpool","Swansea",1,"first",0
"2015/16","Chelsea","Tottenham",0,"first",0
"2015/16","West Brom","West Ham",0,"first",0
"2015/16","Arsenal","Norwich",0,"first",1
"2015/16","Swansea","Liverpool",0,"first",0
"2015/16","Watford","Norwich",1,"first",1
"2015/16","West Brom","Tottenham",1,"first",1
"2015/16","Man Utd","West Ham",1,"first",0
"2015/16","Stoke","Man City",1,"first",2
"2015/16","Swansea","Leicester",1,"first",0
"2015/16","Southampton","Aston Villa",1,"first",0
"2015/16","Arsenal","Sunderland",1,"first",1
"2015/16","Chelsea","Bournemouth",1,"first",0
"2015/16","Norwich","Watford",0,"first",0
"2015/16","Tottenham","West Brom",0,"first",1
"2015/16","West Ham","Man Utd",0,"first",0
"2015/16","Man City","Stoke",0,"first",0
"2015/16","Leicester","Swansea",0,"first",2
"2015/16","Aston Villa","Southampton",0,"first",1
"2015/16","Sunderland","Arsenal",0,"first",1
"2015/16","Bournemouth","Chelsea",0,"first",0
"2015/16","Newcastle","Liverpool",1,"first",0
"2015/16","Liverpool","Newcastle",0,"first",0
"2015/16","Everton","Crystal Palace",1,"first",0
"2015/16","Crystal Palace","Everton",0,"first",0
"2015/16","Crystal Palace","Southampton",1,"first",1
"2015/16","Norwich","Everton",1,"first",0
"2015/16","Sunderland","Watford",1,"first",0
"2015/16","Man City","Swansea",1,"first",1
"2015/16","West Ham","Stoke",1,"first",0
"2015/16","Bournemouth","Man Utd",1,"first",1
"2015/16","Southampton","Crystal Palace",0,"first",0
"2015/16","Everton","Norwich",0,"first",1
"2015/16","Watford","Sunderland",0,"first",1
"2015/16","Swansea","Man City",0,"first",0
"2015/16","Stoke","West Ham",0,"first",0
"2015/16","Man Utd","Bournemouth",0,"first",1
"2015/16","Tottenham","Newcastle",1,"first",1
"2015/16","Aston Villa","Arsenal",1,"first",0
"2015/16","Liverpool","West Brom",1,"first",1
"2015/16","Newcastle","Tottenham",0,"first",0
"2015/16","Arsenal","Aston Villa",0,"first",2
"2015/16","West Brom","Liverpool",0,"first",1
"2015/16","Leicester","Chelsea",1,"first",1
"2015/16","Chelsea","Leicester",0,"first",0
"2015/16","West Brom","Bournemouth",1,"first",0
"2015/16","Chelsea","Sunderland",1,"first",2
"2015/16","Everton","Leicester",1,"first",1
"2015/16","Man Utd","Norwich",1,"first",0
"2015/16","Southampton","Tottenham",1,"first",0
"2015/16","Stoke","Crystal Palace",1,"first",0
"2015/16","Newcastle","Aston Villa",1,"first",1
"2015/16","Bournemouth","West Brom",0,"first",0
"2015/16","Sunderland","Chelsea",0,"first",0
"2015/16","Leicester","Everton",0,"first",1
"2015/16","Norwich","Man Utd",0,"first",1
"2015/16","Tottenham","Southampton",0,"first",2
"2015/16","Crystal Palace","Stoke",0,"first",1
"2015/16","Aston Villa","Newcastle",0,"first",0
"2015/16","Watford","Liverpool",1,"first",2
"2015/16","Swansea","West Ham",1,"first",0
"2015/16","Liverpool","Watford",0,"first",0
"2015/16","West Ham","Swansea",0,"first",0
"2015/16","Arsenal","Man City",1,"first",2
"2015/16","Man City","Arsenal",0,"first",0
"2015/16","Stoke","Man Utd",1,"first",2
"2015/16","Swansea","West Brom",1,"first",1
"2015/16","Tottenham","Norwich",1,"first",2
"2015/16","Aston Villa","West Ham",1,"first",0
"2015/16","Chelsea","Watford",1,"first",1
"2015/16","Bournemouth","Crystal Palace",1,"first",0
"2015/16","Liverpool","Leicester",1,"first",0
"2015/16","Newcastle","Everton",1,"first",0
"2015/16","Man City","Sunderland",1,"first",3
"2015/16","Southampton","Arsenal",1,"first",1
"2015/16","Man Utd","Stoke",0,"first",0
"2015/16","West Brom","Swansea",0,"first",0
"2015/16","Norwich","Tottenham",0,"first",0
"2015/16","West Ham","Aston Villa",0,"first",1
"2015/16","Watford","Chelsea",0,"first",1
"2015/16","Crystal Palace","Bournemouth",0,"first",0
"2015/16","Leicester","Liverpool",0,"first",0
"2015/16","Everton","Newcastle",0,"first",0
"2015/16","Sunderland","Man City",0,"first",0
"2015/16","Arsenal","Southampton",0,"first",0
"2015/16","Arsenal","Bournemouth",1,"first",1
"2015/16","Man Utd","Chelsea",1,"first",0
"2015/16","West Ham","Southampton",1,"first",0
"2015/16","Norwich","Aston Villa",1,"first",1
"2015/16","Crystal Palace","Swansea",1,"first",0
"2015/16","Everton","Stoke",1,"first",1
"2015/16","Watford","Tottenham",1,"first",1
"2015/16","West Brom","Newcastle",1,"first",0
"2015/16","Bournemouth","Arsenal",0,"first",0
"2015/16","Chelsea","Man Utd",0,"first",0
"2015/16","Southampton","West Ham",0,"first",1
"2015/16","Aston Villa","Norwich",0,"first",0
"2015/16","Swansea","Crystal Palace",0,"first",0
"2015/16","Stoke","Everton",0,"first",2
"2015/16","Tottenham","Watford",0,"first",1
"2015/16","Newcastle","West Brom",0,"first",0
"2015/16","Leicester","Man City",1,"first",0
"2015/16","Man City","Leicester",0,"first",0
"2015/16","Sunderland","Liverpool",1,"first",0
"2015/16","Liverpool","Sunderland",0,"first",0
"2015/16","Watford","Man City",1,"first",0
"2015/16","Leicester","Bournemouth",1,"first",0
"2015/16","Arsenal","Newcastle",1,"first",0
"2015/16","West Brom","Stoke",1,"first",0
"2015/16","Sunderland","Aston Villa",1,"first",1
"2015/16","Man Utd","Swansea",1,"first",0
"2015/16","West Ham","Liverpool",1,"first",1
"2015/16","Norwich","Southampton",1,"first",0
"2015/16","Man City","Watford",0,"first",0
"2015/16","Bournemouth","Leicester",0,"first",0
"2015/16","Newcastle","Arsenal",0,"first",0
"2015/16","Stoke","West Brom",0,"first",0
"2015/16","Aston Villa","Sunderland",0,"first",0
"2015/16","Swansea","Man Utd",0,"first",0
"2015/16","Liverpool","West Ham",0,"first",0
"2015/16","Southampton","Norwich",0,"first",0
"2015/16","Everton","Tottenham",1,"first",1
"2015/16","Crystal Palace","Chelsea",1,"first",0
"2015/16","Tottenham","Everton",0,"first",1
"2015/16","Chelsea","Crystal Palace",0,"first",1
"2015/16","Aston Villa","Crystal Palace",1,"first",0
"2015/16","Bournemouth","West Ham",1,"first",1
"2015/16","Newcastle","Man Utd",1,"first",1
"2015/16","Crystal Palace","Aston Villa",0,"first",0
"2015/16","West Ham","Bournemouth",0,"first",0
"2015/16","Man Utd","Newcastle",0,"first",2
"2015/16","Tottenham","Leicester",1,"first",0
"2015/16","Liverpool","Arsenal",1,"first",2
"2015/16","Swansea","Sunderland",1,"first",2
"2015/16","Man City","Everton",1,"first",0
"2015/16","Chelsea","West Brom",1,"first",1
"2015/16","Stoke","Norwich",1,"first",0
"2015/16","Southampton","Watford",1,"first",1
"2015/16","Leicester","Tottenham",0,"first",0
"2015/16","Arsenal","Liverpool",0,"first",2
"2015/16","Sunderland","Swansea",0,"first",1
"2015/16","Everton","Man City",0,"first",0
"2015/16","West Brom","Chelsea",0,"first",1
"2015/16","Norwich","Stoke",0,"first",0
"2015/16","Watford","Southampton",0,"first",0
"2015/16","Aston Villa","Leicester",1,"first",0
"2015/16","Chelsea","Everton",1,"first",0
"2015/16","Bournemouth","Norwich",1,"first",1
"2015/16","Southampton","West Brom",1,"first",2
"2015/16","Newcastle","West Ham",1,"first",2
"2015/16","Man City","Crystal Palace",1,"first",2
"2015/16","Tottenham","Sunderland",1,"first",1
"2015/16","Leicester","Aston Villa",0,"first",1
"2015/16","Everton","Chelsea",0,"first",0
"2015/16","Norwich","Bournemouth",0,"first",0
"2015/16","West Brom","Southampton",0,"first",0
"2015/16","West Ham","Newcastle",0,"first",0
"2015/16","Crystal Palace","Man City",0,"first",0
"2015/16","Sunderland","Tottenham",0,"first",1
"2015/16","Stoke","Arsenal",1,"first",0
"2015/16","Liverpool","Man Utd",1,"first",0
"2015/16","Arsenal","Stoke",0,"first",0
"2015/16","Man Utd","Liverpool",0,"first",0
"2015/16","Swansea","Watford",1,"first",1
"2015/16","Watford","Swansea",0,"first",0
"2015/16","Norwich","Liverpool",1,"first",2
"2015/16","West Ham","Man City",1,"first",1
"2015/16","West Brom","Aston Villa",1,"first",0
"2015/16","Watford","Newcastle",1,"first",0
"2015/16","Sunderland","Bournemouth",1,"first",1
"2015/16","Crystal Palace","Tottenham",1,"first",1
"2015/16","Man Utd","Southampton",1,"first",0
"2015/16","Leicester","Stoke",1,"first",1
"2015/16","Liverpool","Norwich",0,"first",1
"2015/16","Man City","West Ham",0,"first",1
"2015/16","Aston Villa","West Brom",0,"first",0
"2015/16","Newcastle","Watford",0,"first",0
"2015/16","Bournemouth","Sunderland",0,"first",1
"2015/16","Tottenham","Crystal Palace",0,"first",0
"2015/16","Southampton","Man Utd",0,"first",0
"2015/16","Stoke","Leicester",0,"first",0
"2015/16","Everton","Swansea",1,"first",1
"2015/16","Arsenal","Chelsea",1,"first",0
"2015/16","Swansea","Everton",0,"first",2
"2015/16","Chelsea","Arsenal",0,"first",1
"2015/16","Arsenal","Southampton",1,"first",0
"2015/16","Leicester","Liverpool",1,"first",0
"2015/16","Norwich","Tottenham",1,"first",0
"2015/16","West Ham","Aston Villa",1,"first",0
"2015/16","Sunderland","Man City",1,"first",0
"2015/16","Crystal Palace","Bournemouth",1,"first",1
"2015/16","Man Utd","Stoke",1,"first",2
"2015/16","West Brom","Swansea",1,"first",0
"2015/16","Southampton","Arsenal",0,"first",0
"2015/16","Liverpool","Leicester",0,"first",0
"2015/16","Tottenham","Norwich",0,"first",2
"2015/16","Aston Villa","West Ham",0,"first",0
"2015/16","Man City","Sunderland",0,"first",1
"2015/16","Bournemouth","Crystal Palace",0,"first",1
"2015/16","Stoke","Man Utd",0,"first",0
"2015/16","Swansea","West Brom",0,"first",0
"2015/16","Watford","Chelsea",1,"first",0
"2015/16","Everton","Newcastle",1,"first",1
"2015/16","Chelsea","Watford",0,"first",0
"2015/16","Newcastle","Everton",0,"first",0
"2015/16","Man City","Leicester",1,"first",0
"2015/16","Newcastle","West Brom",1,"first",1
"2015/16","Stoke","Everton",1,"first",0
"2015/16","Tottenham","Watford",1,"first",0
"2015/16","Swansea","Crystal Palace",1,"first",1
"2015/16","Aston Villa","Norwich",1,"first",1
"2015/16","Liverpool","Sunderland",1,"first",0
"2015/16","Southampton","West Ham",1,"first",1
"2015/16","Leicester","Man City",0,"first",1
"2015/16","West Brom","Newcastle",0,"first",0
"2015/16","Everton","Stoke",0,"first",3
"2015/16","Watford","Tottenham",0,"first",0
"2015/16","Crystal Palace","Swansea",0,"first",0
"2015/16","Norwich","Aston Villa",0,"first",0
"2015/16","Sunderland","Liverpool",0,"first",0
"2015/16","West Ham","Southampton",0,"first",0
"2015/16","Bournemouth","Arsenal",1,"first",0
"2015/16","Chelsea","Man Utd",1,"first",0
"2015/16","Arsenal","Bournemouth",0,"first",2
"2015/16","Man Utd","Chelsea",0,"first",0
"2015/16","Swansea","Southampton",1,"first",0
"2015/16","Bournemouth","Stoke",1,"first",0
"2015/16","Everton","West Brom",1,"first",0
"2015/16","Crystal Palace","Watford",1,"first",1
"2015/16","Sunderland","Man Utd",1,"first",1
"2015/16","Norwich","West Ham",1,"first",0
"2015/16","Chelsea","Newcastle",1,"first",3
"2015/16","Southampton","Swansea",0,"first",0
"2015/16","Stoke","Bournemouth",0,"first",1
"2015/16","West Brom","Everton",0,"first",1
"2015/16","Watford","Crystal Palace",0,"first",1
"2015/16","Man Utd","Sunderland",0,"first",1
"2015/16","West Ham","Norwich",0,"first",0
"2015/16","Newcastle","Chelsea",0,"first",0
"2015/16","Man City","Tottenham",1,"first",0
"2015/16","Arsenal","Leicester",1,"first",0
"2015/16","Aston Villa","Liverpool",1,"first",0
"2015/16","Tottenham","Man City",0,"first",0
"2015/16","Leicester","Arsenal",0,"first",1
"2015/16","Liverpool","Aston Villa",0,"first",2
"2015/16","West Ham","Sunderland",1,"first",1
"2015/16","Watford","Bournemouth",1,"first",0
"2015/16","Leicester","Norwich",1,"first",0
