"season","team","opponent","playing","half","goals"
"2012/13","West Ham","Arsenal",1,"first",1
"2012/13","Wigan","Everton",1,"first",2
"2012/13","West Brom","QPR",1,"first",2
"2012/13","Chelsea","Norwich",1,"first",3
"2012/13","Swansea","Reading",1,"first",0
"2012/13","Man City","Sunderland",1,"first",1
"2012/13","Arsenal","West Ham",0,"first",1
"2012/13","Everton","Wigan",0,"first",1
"2012/13","QPR","West Brom",0,"first",1
"2012/13","Norwich","Chelsea",0,"first",1
"2012/13","Reading","Swansea",0,"first",2
"2012/13","Sunderland","Man City",0,"first",0
"2012/13","Liverpool","Stoke",1,"first",0
"2012/13","Newcastle","Man Utd",1,"first",0
"2012/13","Tottenham","Aston Villa",1,"first",0
"2012/13","Southampton","Fulham",1,"first",1
"2012/13","Stoke","Liverpool",0,"first",0
"2012/13","Man Utd","Newcastle",0,"first",2
"2012/13","Aston Villa","Tottenham",0,"first",0
"2012/13","Fulham","Southampton",0,"first",0
"2012/13","West Brom","Man City",1,"first",0
"2012/13","West Ham","Southampton",1,"first",0
"2012/13","Swansea","Wigan",1,"first",0
"2012/13","Norwich","Arsenal",1,"first",1
"2012/13","Man Utd","Stoke",1,"first",2
"2012/13","Fulham","Aston Villa",1,"first",0
"2012/13","Liverpool","Reading",1,"first",1
"2012/13","Man City","West Brom",0,"first",0
"2012/13","Southampton","West Ham",0,"first",0
"2012/13","Wigan","Swansea",0,"first",0
"2012/13","Arsenal","Norwich",0,"first",0
"2012/13","Stoke","Man Utd",0,"first",1
"2012/13","Aston Villa","Fulham",0,"first",0
"2012/13","Reading","Liverpool",0,"first",0
"2012/13","QPR","Everton",1,"first",1
"2012/13","Sunderland","Newcastle",1,"first",0
"2012/13","Everton","QPR",0,"first",1
"2012/13","Newcastle","Sunderland",0,"first",1
"2012/13","Aston Villa","Norwich",1,"first",1
"2012/13","Man City","Swansea",1,"first",0
"2012/13","Wigan","West Ham",1,"first",1
"2012/13","Stoke","Sunderland",1,"first",0
"2012/13","Reading","Fulham",1,"first",1
"2012/13","Arsenal","QPR",1,"first",0
"2012/13","Norwich","Aston Villa",0,"first",0
"2012/13","Swansea","Man City",0,"first",0
"2012/13","West Ham","Wigan",0,"first",0
"2012/13","Sunderland","Stoke",0,"first",0
"2012/13","Fulham","Reading",0,"first",0
"2012/13","QPR","Arsenal",0,"first",0
"2012/13","Chelsea","Man Utd",1,"first",1
"2012/13","Everton","Liverpool",1,"first",2
"2012/13","Southampton","Tottenham",1,"first",0
"2012/13","Newcastle","West Brom",1,"first",1
"2012/13","Man Utd","Chelsea",0,"first",2
"2012/13","Liverpool","Everton",0,"first",2
"2012/13","Tottenham","Southampton",0,"first",2
"2012/13","West Brom","Newcastle",0,"first",0
"2012/13","Swansea","Chelsea",1,"first",0
"2012/13","Norwich","Stoke",1,"first",1
"2012/13","West Ham","Man City",1,"first",0
"2012/13","Tottenham","Wigan",1,"first",0
"2012/13","Sunderland","Aston Villa",1,"first",0
"2012/13","Fulham","Everton",1,"first",1
"2012/13","Man Utd","Arsenal",1,"first",1
"2012/13","Chelsea","Swansea",0,"first",0
"2012/13","Stoke","Norwich",0,"first",0
"2012/13","Man City","West Ham",0,"first",0
"2012/13","Wigan","Tottenham",0,"first",0
"2012/13","Aston Villa","Sunderland",0,"first",0
"2012/13","Everton","Fulham",0,"first",0
"2012/13","Arsenal","Man Utd",0,"first",0
"2012/13","Liverpool","Newcastle",1,"first",0
"2012/13","QPR","Reading",1,"first",0
"2012/13","Newcastle","Liverpool",0,"first",1
"2012/13","Reading","QPR",0,"first",1
"2012/13","West Brom","Southampton",1,"first",1
"2012/13","Southampton","West Brom",0,"first",0
"2012/13","Reading","Norwich",1,"first",0
